nthreads rand10Mx100M+cpt rand10Mx100M+pct rand10Mx10M+cpt rand10Mx10M+pct rand10Mx200M+cpt rand10Mx200M+pct rand10Mx50M+cpt rand10Mx50M+pct rmat10Mx100M+cpt rmat10Mx100M+pct rmat10Mx10M+cpt rmat10Mx10M+pct rmat10Mx200M+cpt rmat10Mx200M+pct rmat10Mx50M+cpt rmat10Mx50M+pct ssca10Mx118M+cpt ssca10Mx118M+pct ssca10Mx300M+cpt ssca10Mx300M+pct ssca10Mx32M+cpt ssca10Mx32M+pct ssca10Mx60M+cpt ssca10Mx60M+pct 
11 54266042960.000000 33842636220.000000 22403100440.000000 20096263030.000000 64860809700.000000 54723251260.000000 44725244660.000000 30663325580.000000 40806259910.000000 26860010290.000000 16752364790.000000 14182670380.000000 55610424750.000000 34567936700.000000 33281714930.000000 23263803390.000000 49625125070.000000 34129711820.000000 65844930710.000000 42825545710.000000 34469446700.000000 28314356820.000000 42193060240.000000 31371710570.000000 
12 54414330500.000000 33196448700.000000 21929688680.000000 19705155540.000000 67402265740.000000 55895955330.000000 44377689200.000000 30400753750.000000 40690861700.000000 26205547690.000000 16392305960.000000 13920969810.000000 54090703940.000000 32988276110.000000 33338079810.000000 22867576170.000000 49779721260.000000 33705468300.000000 66693667460.000000 41400401170.000000 33778324830.000000 27816887130.000000 41433440120.000000 31084015450.000000 
13 53438553520.000000 39075794260.000000 21408863190.000000 22936084990.000000 64664546260.000000 65021379030.000000 43366376460.000000 36464420340.000000 39578595690.000000 31105292860.000000 16052554740.000000 16206948160.000000 51746800640.000000 39653157480.000000 32409582380.000000 27013413910.000000 48662134860.000000 38954828050.000000 64113573200.000000 48404168800.000000 32721244820.000000 32347996740.000000 40117812900.000000 36039819420.000000 
14 52342776570.000000 40233537860.000000 21036526070.000000 22470533890.000000 62764246580.000000 65697048000.000000 42487002720.000000 36049666070.000000 38830626260.000000 31744279730.000000 15693436340.000000 16032684320.000000 49604601870.000000 38871507340.000000 32035359630.000000 27849177380.000000 46983707560.000000 40198656780.000000 63151443250.000000 48838578030.000000 32028450370.000000 31935783070.000000 39260823640.000000 35751248210.000000 
15 51583434180.000000 40081607680.000000 20668025810.000000 22007382350.000000 61641478410.000000 65126459980.000000 41561053770.000000 35094615510.000000 38045580960.000000 31182709850.000000 15409102920.000000 15826818800.000000 48602629560.000000 38044462170.000000 31483471300.000000 27502940570.000000 46700666880.000000 38956312480.000000 61170886140.000000 48023712820.000000 31485276600.000000 31429674870.000000 38219358550.000000 35399193240.000000 
16 50705980810.000000 39742901040.000000 20310605220.000000 21592194470.000000 59421452830.000000 65148657470.000000 40508577490.000000 34976426060.000000 36894591310.000000 30931967870.000000 15033764970.000000 15475826050.000000 46692188280.000000 37186101370.000000 30799565970.000000 27078678310.000000 45526010310.000000 38680092040.000000 59009593540.000000 47253357580.000000 30593174920.000000 30954571060.000000 37271071530.000000 35308139930.000000 
17 49528993530.000000 43459658050.000000 20029519840.000000 25803091650.000000 57501838380.000000 69213265540.000000 39876541690.000000 40045591310.000000 36244850290.000000 34264367180.000000 14789331190.000000 18246897400.000000 45613946740.000000 40671596290.000000 30213035870.000000 30773180550.000000 44822756010.000000 43803547980.000000 57348902180.000000 51443508800.000000 29928365720.000000 36374917320.000000 36468118420.000000 40309054990.000000 
18 49050687700.000000 43392264850.000000 19767893580.000000 25304634650.000000 57406765590.000000 60853351850.000000 39168591920.000000 39059055170.000000 35759121060.000000 31842848270.000000 14512955450.000000 17838561460.000000 44394505110.000000 37294448330.000000 29700023660.000000 28406226750.000000 43767876330.000000 43046671840.000000 55906919840.000000 49639400640.000000 29334835030.000000 35918584960.000000 36051747460.000000 39405260010.000000 
19 48344146970.000000 43735345240.000000 19627918410.000000 24781112060.000000 55703007210.000000 69416196020.000000 38473923710.000000 39767902880.000000 35085090430.000000 33612742430.000000 14294735730.000000 17857704110.000000 43582553520.000000 39649458920.000000 29380630440.000000 30158315490.000000 42985259380.000000 43471747520.000000 55709120440.000000 50404622120.000000 28933484590.000000 35615076650.000000 35447063530.000000 39594522280.000000 
20 47787724870.000000 43776883970.000000 20445338110.000000 25606817640.000000 54798325260.000000 69177617160.000000 37950464600.000000 39814936100.000000 34068752810.000000 33400805150.000000 14476862280.000000 17771427810.000000 41745307500.000000 38623105850.000000 28767581060.000000 30074773380.000000 42770401800.000000 43469326190.000000 54708340780.000000 50267606030.000000 29058984630.000000 35827770670.000000 35061232680.000000 39559278070.000000 
21 47346212360.000000 47454283170.000000 19480417090.000000 28301752550.000000 54154725160.000000 74149773650.000000 37488592810.000000 44234238150.000000 34039317980.000000 36901281230.000000 14030996280.000000 20231676000.000000 41703634600.000000 42444083500.000000 28553369140.000000 33690406450.000000 42057687150.000000 48109826070.000000 53498929050.000000 54952525510.000000 28323753700.000000 39914950510.000000 34308596890.000000 44192335420.000000 
22 46829524030.000000 45965498990.000000 20025157730.000000 29265335270.000000 53501295100.000000 68624641610.000000 37231357790.000000 43744027000.000000 33136525710.000000 34286274100.000000 14091882390.000000 20265297040.000000 40841269210.000000 39061680130.000000 28026887800.000000 32307009260.000000 41503290890.000000 47226770120.000000 53452957500.000000 52591573710.000000 28376786850.000000 40217061760.000000 33799601610.000000 43684654740.000000 
23 46251982240.000000 47640612430.000000 19005456550.000000 27386259250.000000 52633791020.000000 73345610300.000000 36596934660.000000 43918414420.000000 33363013290.000000 36945217530.000000 13722096510.000000 19665102290.000000 40631983020.000000 42119868350.000000 27861500870.000000 33629342380.000000 40792066040.000000 47339972290.000000 52395888870.000000 53631387070.000000 27482115980.000000 39034371730.000000 33124639310.000000 43275335010.000000 
24 45564235370.000000 47353828480.000000 19643478310.000000 28343550410.000000 51494978390.000000 72518988300.000000 35645516830.000000 43358934860.000000 32836988390.000000 35585359620.000000 13759520090.000000 19851289430.000000 39165235220.000000 40726132540.000000 27417594260.000000 32953308070.000000 40189280880.000000 46925050580.000000 51774952080.000000 53409446020.000000 27596705350.000000 39646065800.000000 32633580170.000000 43322594940.000000 
