nthreads rand100Kx10000K+cpt rand100Kx10000K+pct rand100Kx1000K+cpt rand100Kx1000K+pct rand100Kx100K+cpt rand100Kx100K+pct rand100Kx2000K+cpt rand100Kx2000K+pct rand100Kx5000K+cpt rand100Kx5000K+pct rand100Kx500K+cpt rand100Kx500K+pct rmat100Kx10000K+cpt rmat100Kx10000K+pct rmat100Kx1000K+cpt rmat100Kx1000K+pct rmat100Kx100K+cpt rmat100Kx100K+pct rmat100Kx2000K+cpt rmat100Kx2000K+pct rmat100Kx5000K+cpt rmat100Kx5000K+pct rmat100Kx500K+cpt rmat100Kx500K+pct ssca100Kx1180K+cpt ssca100Kx1180K+pct ssca100Kx12000K+cpt ssca100Kx12000K+pct ssca100Kx280K+cpt ssca100Kx280K+pct ssca100Kx2980K+cpt ssca100Kx2980K+pct ssca100Kx600K+cpt ssca100Kx600K+pct ssca100Kx6030K+cpt ssca100Kx6030K+pct 
11 189504228.000000 191694384.000000 57436832.000000 56972144.000000 36460312.000000 33575268.000000 77610728.000000 78223966.000000 123869628.000000 125025278.000000 53142220.000000 53944372.000000 174737036.000000 173900608.000000 45351460.000000 46452290.000000 23666046.000000 22840288.000000 67352836.000000 67680092.000000 110555968.000000 111211464.000000 35855206.000000 35909120.000000 56164390.000000 55332076.000000 153944082.000000 154835398.000000 43254872.000000 41349944.000000 72984360.000000 73523552.000000 50774636.000000 50023164.000000 104979262.000000 105638764.000000 
12 185209208.000000 186045736.000000 57309632.000000 56499574.000000 36826498.000000 35124684.000000 75305568.000000 75982602.000000 121863142.000000 122542076.000000 52763302.000000 53208744.000000 172747524.000000 171169776.000000 43948046.000000 44961388.000000 23938872.000000 23175584.000000 65386748.000000 65542256.000000 110468136.000000 110051252.000000 35516030.000000 35807868.000000 56377346.000000 54626004.000000 151006056.000000 151079248.000000 43333008.000000 42092210.000000 71029192.000000 71693644.000000 51143316.000000 50397696.000000 103113504.000000 103618488.000000 
13 236003886.000000 237200916.000000 61798742.000000 65338406.000000 36644940.000000 34975872.000000 86477334.000000 87189744.000000 149690538.000000 150374896.000000 56250632.000000 55162148.000000 217822136.000000 217599114.000000 48928830.000000 48706940.000000 24226672.000000 23477524.000000 73208374.000000 73907548.000000 131641770.000000 132278104.000000 38114080.000000 38042268.000000 58119820.000000 57896814.000000 186383920.000000 185978904.000000 44587424.000000 43013236.000000 80402916.000000 82171314.000000 52835296.000000 52393232.000000 122603192.000000 123585890.000000 
14 226494462.000000 239019776.000000 61930296.000000 62482164.000000 35824464.000000 35895006.000000 85021396.000000 86835104.000000 144600836.000000 149300380.000000 54569828.000000 54847956.000000 207210460.000000 215368804.000000 47338360.000000 47865120.000000 23875722.000000 23868004.000000 70326226.000000 72117580.000000 126080280.000000 129750860.000000 37065584.000000 37081688.000000 57736714.000000 57847810.000000 180236044.000000 185944852.000000 43641086.000000 43528936.000000 78857784.000000 80243264.000000 52698700.000000 52133398.000000 118657376.000000 121748800.000000 
15 221315116.000000 232677478.000000 62567016.000000 63025634.000000 34935402.000000 35196980.000000 84436530.000000 85407384.000000 141594640.000000 144714516.000000 54914312.000000 54792316.000000 202974144.000000 207833592.000000 46806834.000000 46786910.000000 23483272.000000 23427900.000000 68558708.000000 69850612.000000 123699712.000000 125960374.000000 36751504.000000 36576818.000000 56811588.000000 57291836.000000 175437768.000000 180485846.000000 43136756.000000 43051184.000000 78322500.000000 79010704.000000 52580366.000000 51950648.000000 117048456.000000 118791184.000000 
16 217152496.000000 225734202.000000 62993720.000000 63258344.000000 33928834.000000 36209684.000000 83041272.000000 84391262.000000 138182704.000000 141329400.000000 54464820.000000 54528816.000000 196975006.000000 203580658.000000 45704424.000000 45969466.000000 23225692.000000 23906268.000000 66847120.000000 67610968.000000 120217318.000000 122629136.000000 36316028.000000 36338660.000000 57043392.000000 57050068.000000 171492804.000000 176701754.000000 42569830.000000 43437886.000000 76837996.000000 77803004.000000 52154824.000000 51706978.000000 113580280.000000 115837344.000000 
17 212223026.000000 219807148.000000 63018324.000000 62869052.000000 33129884.000000 35550390.000000 81457592.000000 82299062.000000 135348072.000000 137808232.000000 55080044.000000 54606848.000000 191516848.000000 196486328.000000 45121840.000000 45142656.000000 22952524.000000 23532660.000000 65128044.000000 65830182.000000 117316804.000000 119408790.000000 36192328.000000 36239832.000000 57102488.000000 57290348.000000 165125848.000000 169592588.000000 41983990.000000 43048808.000000 75431108.000000 75799188.000000 51996708.000000 51551468.000000 110757292.000000 112626720.000000 
18 207280818.000000 212604604.000000 63382000.000000 62978732.000000 32151252.000000 36490240.000000 79729892.000000 80373704.000000 131482640.000000 134021624.000000 55086390.000000 54392874.000000 184890962.000000 188142008.000000 44774196.000000 43959716.000000 22549410.000000 23961640.000000 62901732.000000 62985236.000000 113856080.000000 114261948.000000 36222348.000000 35955552.000000 57355960.000000 56918052.000000 159647516.000000 163504200.000000 41326732.000000 43578656.000000 73946520.000000 74296768.000000 51768540.000000 51709884.000000 107144688.000000 108800678.000000 
19 211303632.000000 210097686.000000 63026956.000000 63071428.000000 33830004.000000 35793120.000000 78961820.000000 79396520.000000 132103238.000000 132099068.000000 54767850.000000 54650406.000000 185679978.000000 187370404.000000 44097716.000000 44043374.000000 22901580.000000 23581884.000000 62093804.000000 62674624.000000 113781596.000000 113826500.000000 36212710.000000 36068076.000000 57083672.000000 56594780.000000 159332352.000000 159913096.000000 42387708.000000 43233622.000000 73178532.000000 73715576.000000 51447288.000000 51361004.000000 106232720.000000 107542900.000000 
20 206011310.000000 206789256.000000 62215154.000000 62268190.000000 35200328.000000 36495892.000000 77829994.000000 78189802.000000 129313048.000000 130003648.000000 54668386.000000 54368616.000000 182861536.000000 184607862.000000 43610746.000000 43150412.000000 23398274.000000 23928270.000000 60887484.000000 61166816.000000 107768866.000000 108284096.000000 36004160.000000 35678974.000000 57052310.000000 56523796.000000 156518688.000000 156688452.000000 43013756.000000 43882448.000000 72298956.000000 72287118.000000 51557754.000000 51337180.000000 103565632.000000 104934852.000000 
21 202349148.000000 202628220.000000 62296196.000000 62335536.000000 36054064.000000 36110516.000000 77268072.000000 77558600.000000 127850282.000000 128248936.000000 54639964.000000 54476320.000000 180315000.000000 180546020.000000 43404056.000000 43101944.000000 23693154.000000 23763156.000000 60238140.000000 59978832.000000 105953382.000000 106109424.000000 36054352.000000 36074088.000000 56367658.000000 56141968.000000 152400704.000000 153153116.000000 43445054.000000 43831516.000000 71671842.000000 71905192.000000 51584700.000000 51332024.000000 101873188.000000 103121692.000000 
22 197818848.000000 195524092.000000 62911924.000000 62628948.000000 36698384.000000 36456918.000000 76496394.000000 76602414.000000 124198220.000000 124477868.000000 54762182.000000 54421020.000000 174792956.000000 171165698.000000 42890280.000000 42135556.000000 23925066.000000 24049452.000000 57939094.000000 57551790.000000 106491400.000000 104452478.000000 36316636.000000 35712152.000000 56983532.000000 56355566.000000 148868696.000000 148381862.000000 43817596.000000 43945808.000000 71127398.000000 71000562.000000 51153112.000000 51288108.000000 98807920.000000 99607316.000000 
23 195952352.000000 196091310.000000 62097636.000000 62090160.000000 37210796.000000 36180546.000000 75925322.000000 76576932.000000 123763124.000000 124948180.000000 54382344.000000 54307292.000000 174916134.000000 175465470.000000 42625296.000000 42397728.000000 24132840.000000 23801308.000000 58105092.000000 58334184.000000 101337222.000000 102128920.000000 36080352.000000 35819852.000000 56221946.000000 56167000.000000 146809402.000000 147071652.000000 44008030.000000 43388246.000000 70727780.000000 71313840.000000 51468128.000000 51269628.000000 98119684.000000 99801792.000000 
24 193868068.000000 192530800.000000 62897474.000000 62118000.000000 37531218.000000 36767646.000000 76088080.000000 76526920.000000 121803296.000000 123294976.000000 54191026.000000 54197068.000000 172013572.000000 171862432.000000 42119100.000000 42134104.000000 24287602.000000 24020220.000000 57183324.000000 57517092.000000 99056122.000000 99700760.000000 35972222.000000 35774752.000000 56439136.000000 56159340.000000 144553676.000000 143999344.000000 44228172.000000 43725204.000000 70436808.000000 71009976.000000 51251176.000000 51235526.000000 96462478.000000 97820212.000000 
