nthreads rand100Kx10000K+cpt rand100Kx10000K+pct rand100Kx1000K+cpt rand100Kx1000K+pct rand100Kx100K+cpt rand100Kx100K+pct rand100Kx2000K+cpt rand100Kx2000K+pct rand100Kx5000K+cpt rand100Kx5000K+pct rand100Kx500K+cpt rand100Kx500K+pct rmat100Kx10000K+cpt rmat100Kx10000K+pct rmat100Kx1000K+cpt rmat100Kx1000K+pct rmat100Kx100K+cpt rmat100Kx100K+pct rmat100Kx2000K+cpt rmat100Kx2000K+pct rmat100Kx5000K+cpt rmat100Kx5000K+pct rmat100Kx500K+cpt rmat100Kx500K+pct ssca100Kx1180K+cpt ssca100Kx1180K+pct ssca100Kx12000K+cpt ssca100Kx12000K+pct ssca100Kx280K+cpt ssca100Kx280K+pct ssca100Kx2980K+cpt ssca100Kx2980K+pct ssca100Kx600K+cpt ssca100Kx600K+pct ssca100Kx6030K+cpt ssca100Kx6030K+pct 
11 470055960.000000 393250270.000000 158397000.000000 144997850.000000 95519840.000000 94791850.000000 230262380.000000 205760100.000000 367658100.000000 325496050.000000 141302660.000000 137758330.000000 457668910.000000 390835040.000000 114258000.000000 109411570.000000 58572120.000000 59898420.000000 181618330.000000 164675260.000000 327580910.000000 289962080.000000 88228860.000000 88321890.000000 143436130.000000 137214110.000000 484357800.000000 426292690.000000 111060900.000000 108784780.000000 201512380.000000 187913100.000000 133586880.000000 130265910.000000 341406290.000000 296184470.000000 
12 458551270.000000 387064790.000000 156755100.000000 142528170.000000 95775070.000000 95398550.000000 216761530.000000 194763460.000000 366060020.000000 320707010.000000 138168200.000000 134512810.000000 454236700.000000 392801500.000000 108833560.000000 107314400.000000 58936750.000000 59955100.000000 170687290.000000 156398680.000000 322397260.000000 280248490.000000 87142710.000000 86868900.000000 142761760.000000 137023550.000000 472695880.000000 412020840.000000 111064710.000000 109363260.000000 190593340.000000 177513840.000000 133765500.000000 129761480.000000 326033770.000000 279612770.000000 
13 444714130.000000 401610680.000000 155679600.000000 149183550.000000 96188230.000000 92838510.000000 204939980.000000 190200930.000000 361122920.000000 326273460.000000 136510610.000000 135837350.000000 450523530.000000 402905680.000000 105244320.000000 105734790.000000 59290000.000000 59279590.000000 162401420.000000 152882850.000000 312959730.000000 279456930.000000 86913030.000000 85512020.000000 140932460.000000 140790900.000000 461791730.000000 414331870.000000 110898230.000000 107943830.000000 186010450.000000 174201940.000000 131743450.000000 129751290.000000 308975330.000000 274097820.000000 
14 433935560.000000 395170100.000000 154085040.000000 147519990.000000 96264680.000000 93821480.000000 195484010.000000 182940870.000000 352696850.000000 319322220.000000 135832820.000000 132754950.000000 434709320.000000 394416320.000000 101805670.000000 102362300.000000 59775850.000000 59513910.000000 152493300.000000 144225470.000000 300385840.000000 268719350.000000 85093930.000000 85047430.000000 141587510.000000 137898200.000000 447924900.000000 401190540.000000 110911420.000000 108193540.000000 175706400.000000 171949350.000000 132074550.000000 128423690.000000 291707990.000000 260851720.000000 
15 429357570.000000 391634790.000000 156044710.000000 148995760.000000 96547350.000000 94441690.000000 185174610.000000 178554520.000000 345967330.000000 311729780.000000 134231980.000000 134139360.000000 429973300.000000 388341720.000000 99705770.000000 99422550.000000 59683980.000000 59491140.000000 146600710.000000 139789990.000000 288965490.000000 256712180.000000 85757550.000000 84964910.000000 140568130.000000 139170340.000000 435650080.000000 389084780.000000 110847740.000000 108708180.000000 170340170.000000 165928030.000000 131962880.000000 128761100.000000 277002400.000000 248800010.000000 
16 422965250.000000 388034560.000000 148532620.000000 147582920.000000 96425150.000000 95075630.000000 177467520.000000 170869580.000000 337550090.000000 302636310.000000 134936730.000000 133302990.000000 419968340.000000 381309280.000000 96756110.000000 97215650.000000 59862420.000000 59743750.000000 139736270.000000 132682780.000000 276860730.000000 247145110.000000 85655830.000000 84708440.000000 140856320.000000 137632530.000000 422305330.000000 375870860.000000 110664750.000000 108848770.000000 165106140.000000 160963320.000000 131078150.000000 128650660.000000 264410820.000000 236549650.000000 
17 419687560.000000 398405110.000000 154184340.000000 155017670.000000 96620730.000000 93582790.000000 175814390.000000 170795800.000000 327541580.000000 306590550.000000 133680690.000000 135994150.000000 411489770.000000 387577400.000000 95608650.000000 98616210.000000 59828420.000000 59047520.000000 135608090.000000 131264850.000000 266508770.000000 248103890.000000 84134660.000000 85221810.000000 139652000.000000 138125500.000000 408662300.000000 383091400.000000 110368300.000000 107930640.000000 161069870.000000 163631280.000000 131135940.000000 129123280.000000 253163190.000000 235462990.000000 
18 415406810.000000 394831500.000000 153046130.000000 149300570.000000 96675140.000000 94209340.000000 169466130.000000 163542470.000000 316315260.000000 296600880.000000 133494440.000000 134756040.000000 394922880.000000 377046210.000000 96506320.000000 94947540.000000 59941620.000000 59196280.000000 129005890.000000 126470840.000000 253277620.000000 236850050.000000 84596720.000000 84351660.000000 138822930.000000 138315900.000000 394672830.000000 369569930.000000 110382210.000000 108421940.000000 156605100.000000 157519410.000000 130052710.000000 128698470.000000 240900010.000000 226099880.000000 
19 413375570.000000 392604270.000000 149880200.000000 151511850.000000 97411100.000000 94682180.000000 169520080.000000 166446430.000000 308742300.000000 288614590.000000 135656330.000000 134319920.000000 393488410.000000 370732250.000000 93680490.000000 94390040.000000 60298740.000000 59317990.000000 126026040.000000 124709950.000000 246972990.000000 230121600.000000 84990280.000000 84382210.000000 140258020.000000 137644160.000000 385343880.000000 359450690.000000 110933850.000000 108596040.000000 157168710.000000 155035000.000000 131229830.000000 128509190.000000 232522400.000000 220548270.000000 
20 413045840.000000 389204920.000000 149011550.000000 150173920.000000 97478690.000000 94935860.000000 165002600.000000 164735810.000000 298199420.000000 279889990.000000 134719950.000000 133889030.000000 387978220.000000 363112170.000000 94889920.000000 93073160.000000 60522500.000000 59330400.000000 121955160.000000 121467320.000000 237691820.000000 222748000.000000 84863400.000000 82772560.000000 138862670.000000 135585220.000000 375831070.000000 349938690.000000 110937940.000000 108465040.000000 154888740.000000 152512030.000000 131496020.000000 128042400.000000 222169700.000000 214250710.000000 
