nthreads rand10Mx100M+cpt rand10Mx100M+pct rand10Mx10M+cpt rand10Mx10M+pct rand10Mx200M+cpt rand10Mx200M+pct rand10Mx500M+cpt rand10Mx500M+pct rand10Mx50M+cpt rand10Mx50M+pct rmat10Mx100M+cpt rmat10Mx100M+pct rmat10Mx10M+cpt rmat10Mx10M+pct rmat10Mx200M+cpt rmat10Mx200M+pct rmat10Mx500M+cpt rmat10Mx500M+pct rmat10Mx50M+cpt rmat10Mx50M+pct ssca10Mx118M+cpt ssca10Mx118M+pct ssca10Mx300M+cpt ssca10Mx300M+pct ssca10Mx32M+cpt ssca10Mx32M+pct ssca10Mx60M+cpt ssca10Mx60M+pct 
11 11378875802.000000 10959577016.000000 5982028296.000000 6228387424.000000 18001009446.000000 18501613576.000000 26036034718.000000 26089730308.000000 9455515028.000000 9462492964.000000 8488958694.000000 8651889160.000000 4079602168.000000 4284763596.000000 11398483870.000000 12159604482.000000 22059136958.000000 22193057624.000000 7057009196.000000 7137569510.000000 10655584572.000000 10558484652.000000 14286284106.000000 15022759466.000000 8465138316.000000 9116914900.000000 9406891252.000000 9517337230.000000 
12 11768099744.000000 11506228048.000000 5964757468.000000 6398391868.000000 18916490270.000000 18112599274.000000 25187150654.000000 24762777268.000000 9712562654.000000 9831527560.000000 8941554212.000000 9035497004.000000 4139695932.000000 4339355800.000000 11122328798.000000 11006504326.000000 21961209986.000000 21290664508.000000 7333634616.000000 7423842876.000000 10817553684.000000 10986656080.000000 15007541230.000000 14717264870.000000 8592946072.000000 8927298570.000000 9572031628.000000 9896557100.000000 
13 14653775144.000000 14891302268.000000 7508214662.000000 8150767270.000000 24667077658.000000 24648505928.000000 28865894074.000000 29113974912.000000 12760919374.000000 13158395068.000000 11786903912.000000 11984093284.000000 5376741248.000000 5719878846.000000 14015494244.000000 14245968980.000000 25459057472.000000 25487870942.000000 9769675366.000000 9949508846.000000 14482440600.000000 14586051352.000000 18690845522.000000 18944472492.000000 11057761820.000000 11782317370.000000 12436871160.000000 13029583542.000000 
14 14809319284.000000 15656731468.000000 7724676858.000000 8059133692.000000 24953992624.000000 24026568736.000000 28455643554.000000 30140447228.000000 13025912000.000000 13133215740.000000 11745167686.000000 12313056698.000000 5532537144.000000 5722395780.000000 14180937052.000000 14587937538.000000 24663890504.000000 25895290512.000000 9931032736.000000 10164788664.000000 14639916576.000000 14856813700.000000 19017522374.000000 20158681628.000000 11481029848.000000 11821110216.000000 12924060712.000000 12984596436.000000 
15 15103657712.000000 15617511576.000000 8018443320.000000 8498817098.000000 25370702346.000000 24360447940.000000 27884070950.000000 29378117196.000000 13340420538.000000 13351156804.000000 11919557980.000000 12187162690.000000 5767470512.000000 5927115516.000000 13971412040.000000 14233616310.000000 23981310996.000000 24859656292.000000 10138313240.000000 10222990924.000000 14854526396.000000 14967952472.000000 19131403834.000000 19886958720.000000 11802542532.000000 12297908808.000000 13234735686.000000 13409465412.000000 
16 15123583352.000000 15695608042.000000 8371461552.000000 8376669432.000000 25421451188.000000 23752653204.000000 27468078330.000000 29440980994.000000 13425308364.000000 13570003652.000000 11930099236.000000 12282815816.000000 5899491928.000000 5875387818.000000 13654173492.000000 14003191604.000000 23436569648.000000 24931512896.000000 10193349838.000000 10264287736.000000 14780736936.000000 15006680342.000000 19017578124.000000 19857634868.000000 12209334372.000000 12308042218.000000 13453024218.000000 13382404906.000000 
17 15163814006.000000 15598387214.000000 8695202200.000000 8671278450.000000 25056846558.000000 24128415906.000000 26988888494.000000 28769427738.000000 13496554822.000000 13615478836.000000 11844311804.000000 12194447572.000000 6089379252.000000 6150208838.000000 13439847600.000000 13691060338.000000 22775206216.000000 23997629856.000000 10246279338.000000 10304137988.000000 14779924874.000000 14956545568.000000 18705210986.000000 19496394176.000000 12548814846.000000 12710244124.000000 13595874234.000000 13665291028.000000 
18 14678492316.000000 14792809316.000000 9060096340.000000 8490245580.000000 23620743520.000000 22355154684.000000 25464688784.000000 27215311474.000000 13019457120.000000 13102414356.000000 11742044020.000000 11431938884.000000 6229274292.000000 5952700986.000000 12818546888.000000 12861513744.000000 21895664412.000000 22397683724.000000 9863217032.000000 9815255236.000000 14544642190.000000 14272915394.000000 17629602070.000000 18297977400.000000 12869919072.000000 12416344074.000000 13399372528.000000 13304329708.000000 
19 15249375264.000000 15458499546.000000 9086276542.000000 8873274172.000000 24421420746.000000 23613137918.000000 27141117578.000000 28010940510.000000 13530496460.000000 13567146780.000000 11716855380.000000 11963558502.000000 6295432650.000000 6153018548.000000 13000655404.000000 13174357876.000000 22586416944.000000 22939695428.000000 10216413328.000000 10279018340.000000 14775799276.000000 14863959776.000000 18666830240.000000 19217023192.000000 12940603824.000000 12834078556.000000 13737993482.000000 13730423832.000000 
20 15407788922.000000 15461844972.000000 9296754992.000000 9050074652.000000 25054504166.000000 23579761692.000000 27482268656.000000 27844416090.000000 13726824584.000000 13729786596.000000 11810038488.000000 12091549162.000000 6502765740.000000 6402274192.000000 12944603254.000000 13197007220.000000 22827716234.000000 23105949556.000000 10384401168.000000 10435013132.000000 15018296928.000000 15054608464.000000 18918330104.000000 19193642356.000000 13105667412.000000 12941891116.000000 13891991804.000000 13889531888.000000 
